Position, Company, Tags 
Senior Software Engineer,Iterative,🌏 Worldwide 💰 $50k - $180k 
Senior Frontend Engineer,Iterative,🌏 Worldwide 💰 $50k - $180k 
Senior DevOps Engineer,Calm,💰 $70k - $120k 
Quantitative Strategist DeFi,Re7,🇬🇧 United Kingdom 💰 $65k - $130k* 
Data Scientist,Amwell,🇺🇸 United States 💰 $70k - $115k* 
Senior Full Stack Developer Django VUE.js,Accruvia,🌏 Worldwide 💰 $40k - $120k 
Executive Assistant,Checkr,🇺🇸 United States 💰 $70k - $120k* 
Senior Software Engineer Roku,FuboTV,🇺🇸 United States 💰 $70k - $120k* 
Technical Recruiter,hims & hers,🇺🇸 United States 💰 $70k - $120k* 
Senior Customer Success Manager,Nightfall,💰 $70k - $120k* 
Implementation Leader,Great Minds,🇺🇸 United States 💰 $70k - $120k* 
Sales Development Representative,Aspire,🇺🇸 United States 💰 $70k - $120k* 
Proposal and Contracts Analyst Go Market Sales Tri Lingual,Guidewire Software,🇺🇸 United States 💰 $70k - $120k* 
Billing A R Collections Specialist,Invitae,🇺🇸 United States 💰 $70k - $123k* 
Commercial Data Analyst,Invitae,🇺🇸 United States 💰 $70k - $115k* 
Senior Full Stack Developer,Commit,🇨🇦 Canada 💰 $110k - $140k 
Senior Backend Engineer Python,AssemblyAI,🌎 North America 💃 Latin America 🇪🇺 Europe 💰 $120k - $200k 
DevOps Engineer,Orderly,Worldwide 💰 $70k - $120k* 
Product Manager LATOKEN,Latoken,Remote Worldwide 💰 $60k - $120k* 
Integration Specialist,Pyth,Global 💰 $70k - $125k* 
Senior Full Stack Engineer (Node.js  Python),Weflow,Europe Only
Senior Open Source Developer & DevOps (Python  Django  React  AWS/OpenStack),OpenCraft,Anywhere in the World
Senior Python Engineer: Long-term job - 100% remote,Proxify AB,Anywhere in the World
(Senior) Python Full Stack Software Developer,Optimile,Europe Only
Python / PHP Senior Developer for Ambitious Startup,Soundsnap/ Beatopia,Europe Only
Senior Software Engineer  Python,AssemblyAI (YC 17),Anywhere in the World
Senior Software Engineer - Python / Django,CloudTruth,Anywhere in the World
Senior Python Developer - Full Remote ,Ebury,Latin America Only/Europe Only
Python Developer - Remote,UpStack Technologies  Inc.,Americas Only/Europe Only
Python Developer,Lemon.io,Latin America Only/Europe Only
Python Platform Engineer,Doximity,Americas Only
Backend Engineer - Integrations (Python),Cerity Partners LLC,USA Only
Senior Python Engineer,Clevertech,Anywhere in the World
Backend engineer - data ingestion (Python  remote),Gridium,None
